Local time,Open,High,Low,Close,Volume
14.09.2009 08:00:00.000 GMT+0800,1.66540,1.66540,1.65210,1.66060,189514.0625
15.09.2009 08:00:00.000 GMT+0800,1.66060,1.66600,1.64015,1.64885,258084.7656
16.09.2009 08:00:00.000 GMT+0800,1.64895,1.65335,1.64315,1.64765,251599.75
17.09.2009 08:00:00.000 GMT+0800,1.64755,1.65675,1.64255,1.64335,264979.25
18.09.2009 08:00:00.000 GMT+0800,1.64335,1.64385,1.62300,1.62685,257670.6875
19.09.2009 08:00:00.000 GMT+0800,1.62685,1.62685,1.62685,1.62685,0
20.09.2009 08:00:00.000 GMT+0800,1.62695,1.62698,1.62085,1.62505,15535.2002
21.09.2009 08:00:00.000 GMT+0800,1.62510,1.62625,1.61335,1.62165,169832.8438
22.09.2009 08:00:00.000 GMT+0800,1.62160,1.64050,1.62160,1.63810,231461.0469
23.09.2009 08:00:00.000 GMT+0800,1.63800,1.64675,1.63170,1.63555,254244.3125
24.09.2009 08:00:00.000 GMT+0800,1.63545,1.63865,1.59150,1.59465,276502.4375
25.09.2009 08:00:00.000 GMT+0800,1.59465,1.60460,1.59165,1.59500,240439.4375
26.09.2009 08:00:00.000 GMT+0800,1.59500,1.59500,1.59500,1.59500,0
27.09.2009 08:00:00.000 GMT+0800,1.59512,1.59865,1.58155,1.58590,22098.3594
28.09.2009 08:00:00.000 GMT+0800,1.58590,1.59250,1.57695,1.58865,227845.1719
29.09.2009 08:00:00.000 GMT+0800,1.58865,1.59890,1.58245,1.59685,265302.6563
30.09.2009 08:00:00.000 GMT+0800,1.59680,1.61255,1.59445,1.60000,269041.6875
01.10.2009 08:00:00.000 GMT+0800,1.60000,1.60240,1.58880,1.58935,256197.8125
02.10.2009 08:00:00.000 GMT+0800,1.58935,1.59545,1.58030,1.59402,311855.6875
03.10.2009 08:00:00.000 GMT+0800,1.59402,1.59402,1.59402,1.59402,0
04.10.2009 08:00:00.000 GMT+0800,1.59375,1.59578,1.59175,1.59295,25187.1191
05.10.2009 08:00:00.000 GMT+0800,1.59305,1.60235,1.59020,1.59465,258923.3906
