Local time,Open,High,Low,Close,Volume
04.10.2009 08:00:00.000 GMT+0800,1.07947,1.08245,1.07866,1.07960,25718
05.10.2009 08:00:00.000 GMT+0800,1.07960,1.07975,1.06920,1.06975,243977.375
06.10.2009 08:00:00.000 GMT+0800,1.06975,1.07125,1.05460,1.05925,274010.1563
07.10.2009 08:00:00.000 GMT+0800,1.05925,1.06480,1.05275,1.05920,252816.7969
08.10.2009 08:00:00.000 GMT+0800,1.05925,1.06305,1.05055,1.05265,267283.375
09.10.2009 08:00:00.000 GMT+0800,1.05280,1.05510,1.04105,1.04224,240699.5156
10.10.2009 08:00:00.000 GMT+0800,1.04224,1.04224,1.04224,1.04224,0
11.10.2009 08:00:00.000 GMT+0800,1.04225,1.04355,1.04028,1.04180,29763.7891
12.10.2009 08:00:00.000 GMT+0800,1.04180,1.04510,1.03170,1.03260,172342.125
13.10.2009 08:00:00.000 GMT+0800,1.03260,1.03720,1.02655,1.03170,272129.3125
14.10.2009 08:00:00.000 GMT+0800,1.03170,1.03235,1.02280,1.02280,241822.8125
15.10.2009 08:00:00.000 GMT+0800,1.02285,1.03705,1.02009,1.03105,283421.2813
16.10.2009 08:00:00.000 GMT+0800,1.03105,1.04345,1.02870,1.03645,253203.5781
17.10.2009 08:00:00.000 GMT+0800,1.03645,1.03645,1.03645,1.03645,0
18.10.2009 08:00:00.000 GMT+0800,1.03647,1.03985,1.03498,1.03825,18233.1992
19.10.2009 08:00:00.000 GMT+0800,1.03820,1.04225,1.02695,1.02860,262300.75
20.10.2009 08:00:00.000 GMT+0800,1.02865,1.05260,1.02650,1.04895,273832.0313
21.10.2009 08:00:00.000 GMT+0800,1.04880,1.05825,1.03780,1.04375,343037.5
22.10.2009 08:00:00.000 GMT+0800,1.04375,1.05440,1.04165,1.04565,254102.5469
23.10.2009 08:00:00.000 GMT+0800,1.04565,1.05440,1.04480,1.05355,258505.2969
24.10.2009 08:00:00.000 GMT+0800,1.05355,1.05355,1.05355,1.05355,0
25.10.2009 08:00:00.000 GMT+0800,1.05335,1.05348,1.04987,1.05325,20532.0703
26.10.2009 08:00:00.000 GMT+0800,1.05325,1.06965,1.05005,1.06895,287771.9063
27.10.2009 08:00:00.000 GMT+0800,1.06900,1.07165,1.06260,1.06420,255097.6875
28.10.2009 08:00:00.000 GMT+0800,1.06420,1.08115,1.06385,1.08050,242118.8438
29.10.2009 08:00:00.000 GMT+0800,1.08050,1.08205,1.06545,1.06755,273975.6563
30.10.2009 08:00:00.000 GMT+0800,1.06755,1.08480,1.06520,1.08448,238747.8125
31.10.2009 08:00:00.000 GMT+0800,1.08448,1.08448,1.08448,1.08448,0
01.11.2009 08:00:00.000 GMT+0800,1.08448,1.08675,1.08262,1.08285,9665.4004
02.11.2009 08:00:00.000 GMT+0800,1.08285,1.08365,1.07130,1.07755,318365.3125
03.11.2009 08:00:00.000 GMT+0800,1.07765,1.08525,1.06490,1.06650,304410.5938
04.11.2009 08:00:00.000 GMT+0800,1.06650,1.06845,1.05940,1.06285,274058.5
05.11.2009 08:00:00.000 GMT+0800,1.06285,1.06805,1.06050,1.06505,248769.2656
06.11.2009 08:00:00.000 GMT+0800,1.06505,1.07800,1.06075,1.07477,280607
07.11.2009 08:00:00.000 GMT+0800,1.07477,1.07477,1.07477,1.07477,0
08.11.2009 08:00:00.000 GMT+0800,1.07462,1.07699,1.07095,1.07410,11928.4102
09.11.2009 08:00:00.000 GMT+0800,1.07410,1.07465,1.05420,1.05535,278403.0625
10.11.2009 08:00:00.000 GMT+0800,1.05535,1.06065,1.04805,1.04995,291807.0313
11.11.2009 08:00:00.000 GMT+0800,1.04995,1.05025,1.04315,1.04460,220320.0625
12.11.2009 08:00:00.000 GMT+0800,1.04460,1.05755,1.04145,1.05505,256918.5313
13.11.2009 08:00:00.000 GMT+0800,1.05510,1.05660,1.04720,1.05142,218019.1719
14.11.2009 08:00:00.000 GMT+0800,1.05142,1.05142,1.05142,1.05142,0
15.11.2009 08:00:00.000 GMT+0800,1.05140,1.05385,1.04885,1.04905,21783.6992
16.11.2009 08:00:00.000 GMT+0800,1.04885,1.05225,1.04255,1.04695,201465.3125
17.11.2009 08:00:00.000 GMT+0800,1.04695,1.06190,1.04616,1.05094,218935.1563
18.11.2009 08:00:00.000 GMT+0800,1.05072,1.05825,1.04490,1.05525,176304.3438
19.11.2009 08:00:00.000 GMT+0800,1.05525,1.06890,1.05495,1.06265,192028.2031
20.11.2009 08:00:00.000 GMT+0800,1.06255,1.07325,1.06135,1.07023,164758.4063
21.11.2009 08:00:00.000 GMT+0800,1.07023,1.07023,1.07023,1.07023,0
22.11.2009 08:00:00.000 GMT+0800,1.07013,1.07095,1.06905,1.06925,13248.5
23.11.2009 08:00:00.000 GMT+0800,1.06930,1.06930,1.05395,1.05680,162733.4844
24.11.2009 08:00:00.000 GMT+0800,1.05680,1.06430,1.05620,1.05800,192068.7969
25.11.2009 08:00:00.000 GMT+0800,1.05800,1.05825,1.04463,1.04610,170517.1875
26.11.2009 08:00:00.000 GMT+0800,1.04620,1.06195,1.04550,1.06145,98973.7031
27.11.2009 08:00:00.000 GMT+0800,1.06145,1.07490,1.05865,1.06232,143984.875
28.11.2009 08:00:00.000 GMT+0800,1.06232,1.06232,1.06232,1.06232,0
29.11.2009 08:00:00.000 GMT+0800,1.06240,1.06240,1.05644,1.05955,16321.2998
30.11.2009 08:00:00.000 GMT+0800,1.05935,1.06135,1.05320,1.05395,191422.1563
01.12.2009 08:00:00.000 GMT+0800,1.05395,1.05780,1.04055,1.04630,202637.2969
02.12.2009 08:00:00.000 GMT+0800,1.04625,1.05150,1.04315,1.04915,181527.1563
03.12.2009 08:00:00.000 GMT+0800,1.04915,1.05840,1.04615,1.05585,152522.2969
04.12.2009 08:00:00.000 GMT+0800,1.05595,1.05955,1.04330,1.05720,243126.9688
05.12.2009 08:00:00.000 GMT+0800,1.05720,1.05720,1.05720,1.05720,0
06.12.2009 08:00:00.000 GMT+0800,1.05745,1.05805,1.05360,1.05625,17120.0996
07.12.2009 08:00:00.000 GMT+0800,1.05625,1.06505,1.04820,1.04985,262448.8438
08.12.2009 08:00:00.000 GMT+0800,1.04975,1.06700,1.04847,1.06460,242867.7344
09.12.2009 08:00:00.000 GMT+0800,1.06460,1.06495,1.05150,1.05415,214104.1875
10.12.2009 08:00:00.000 GMT+0800,1.05410,1.05825,1.04780,1.05135,173229.125
