Local time,Open,High,Low,Close,Volume
27.11.2009 08:00:00.000 GMT+0800,85.170,87.010,85.080,85.535,577425.5
28.11.2009 08:00:00.000 GMT+0800,85.535,85.535,85.535,85.535,0
29.11.2009 08:00:00.000 GMT+0800,86.542,87.376,86.365,86.625,41922.5703
30.11.2009 08:00:00.000 GMT+0800,86.625,86.850,85.860,86.275,694916.1875
01.12.2009 08:00:00.000 GMT+0800,86.275,87.530,86.275,86.655,627059.3125
02.12.2009 08:00:00.000 GMT+0800,86.655,87.675,86.590,87.635,520657.875
03.12.2009 08:00:00.000 GMT+0800,87.635,88.480,87.580,88.265,536107.375
04.12.2009 08:00:00.000 GMT+0800,88.270,90.770,87.990,90.618,677042.25
05.12.2009 08:00:00.000 GMT+0800,90.618,90.618,90.618,90.618,0
06.12.2009 08:00:00.000 GMT+0800,90.492,90.536,89.970,90.060,147021.2344
07.12.2009 08:00:00.000 GMT+0800,90.060,90.190,89.035,89.350,696969
08.12.2009 08:00:00.000 GMT+0800,89.350,89.440,88.170,88.385,673564.3125
09.12.2009 08:00:00.000 GMT+0800,88.385,88.690,87.360,88.080,584709.8125
10.12.2009 08:00:00.000 GMT+0800,88.080,88.450,87.725,88.255,348245.6875
11.12.2009 08:00:00.000 GMT+0800,88.255,89.805,88.255,89.108,533951.375
12.12.2009 08:00:00.000 GMT+0800,89.108,89.108,89.108,89.108,0
13.12.2009 08:00:00.000 GMT+0800,89.165,89.320,88.823,89.260,42210.8984
14.12.2009 08:00:00.000 GMT+0800,89.255,89.285,88.315,88.680,566987.5
15.12.2009 08:00:00.000 GMT+0800,88.680,89.950,88.605,89.495,528528.375
16.12.2009 08:00:00.000 GMT+0800,89.495,89.980,89.380,89.855,449273.4063
17.12.2009 08:00:00.000 GMT+0800,89.855,90.365,89.555,89.665,541587.5
18.12.2009 08:00:00.000 GMT+0800,89.665,90.910,88.980,90.465,506635.125
19.12.2009 08:00:00.000 GMT+0800,90.465,90.465,90.465,90.465,0
20.12.2009 08:00:00.000 GMT+0800,90.320,90.673,90.123,90.435,56309.3984
21.12.2009 08:00:00.000 GMT+0800,90.435,91.230,90.235,91.075,445778.125
22.12.2009 08:00:00.000 GMT+0800,91.070,91.865,91.000,91.810,480884.25
23.12.2009 08:00:00.000 GMT+0800,91.810,91.870,91.310,91.645,267837.5938
24.12.2009 08:00:00.000 GMT+0800,91.640,91.775,91.130,91.435,297845.9063
